checked,date,comment,no,endnoteID,author,year,lastname,author_year_format,author_year,title,country,site,multi_country,setting,representativeness,cohort_abbrev,cohort_abbrev,study_design,fup_period,fup_start,fup_end,dc_period,dc_start,dc_end,data_source,moa,sampling,sample_size,sex,age_specific,start_age,end_age,response_rate,attr_rate,comment about sample characteristics,instrument,diag_criteria,M_EstimateType,M_TypeofAnalysis,page,table,temporality_type,dx1_timing,dx2_timing,dx1_label,dx1_abbrev,dx2_label,dx2_abbrev,pair,unadj_type,unadj_subtype,unadj_rate,unadj_lower,unadj_upper,unadj_pvalue,adj_type,adj_subtype,adj_rate,adj_lower,adj_upper,adj_pvalue,adj_conf,cross_type,cross_subtype,a,b,c,d,double check bs:bv,unadj_indicator1,unadj_indicator2,unadj_indicator,unadjusted_type,adj_indicator,S_QRBackground,S_QRObjective,S_QRSetting,S_QRDataSource,S_QRDiagnosticCriteria,S_QRDiagnosticMethod,S_QRGeneralizability,S_QREstimate,S_QRAdjustment,S_QRBias,S_QRStatistics,S_QREthicalApproval,S_QRTotalScore
yes,15-Oct,,17,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,dysthymia,DYS,opioid use disorder,OPIUD,DYS-OPIUD,overall,,4.2,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,18,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,dysthymia,DYS,opioid abuse,OPIA,DYS-OPIA,overall,,2.9,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,19,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,dysthymia,DYS,opioid dependence,OPID,DYS-OPID,overall,,8.8,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,20,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,dysthymia,DYS,sedative use disorder,SEDUD,DYS-SEDUD,overall,,5.8,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,21,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,dysthymia,DYS,sedative dependence,SEDD,DYS-SEDD,overall,,9.1,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,22,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,dysthymia,DYS,sedative abuse,SEDA,DYS-SEDA,overall,,4.8,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,23,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,dysthymia,DYS,tranquilizer use disorder,TRAUD,DYS-TRAUD,overall,,5,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,24,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,dysthymia,DYS,tranquilizer dependence,TRAD,DYS-TRAD,overall,,9.3,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,25,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,dysthymia,DYS,tranquilizer abuse,TRAA,DYS-TRAA,overall,,3.9,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,26,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,amphetamine use disorder,AMPUD,DEP-AMPUD,overall,,3.7,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,27,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,amphetamine abuse,AMPA,DEP-AMPA,overall,,3.1,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,28,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,amphetamine dependence,AMPD,DEP-AMPD,overall,,5.3,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,29,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,cocaine use disorder,COCUD,DEP-COCUD,overall,,2.9,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,30,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,cocaine abuse,COCA,DEP-COCA,overall,,2.1,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,31,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,cocaine dependence,COCD,DEP-COCD,overall,,4.7,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,35,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,hallucinogen use disorder,HALUD,DEP-HALUD,overall,,3.7,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,36,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,hallucinogen abuse,HALA,DEP-HALA,overall,,3.5,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,37,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,hallucinogen dependence,HALD,DEP-HALD,overall,,5.2,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,38,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,inhalant/solvent abuse,INHA,DEP-INHA,overall,,3.7,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,39,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,marijuana use disorder,MARUD,DEP-MARUD,overall,,2.6,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,40,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,marijuana abuse,MARA,DEP-MARA,overall,,2.2,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,41,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,marijuana dependence,MARD,DEP-MARD,overall,,4.6,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,42,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,opioid use disorder,OPIUD,DEP-OPIUD,overall,,4.4,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,43,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,opioid abuse,OPIA,DEP-OPIA,overall,,3.6,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,44,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,opioid dependence,OPID,DEP-OPID,overall,,7.6,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,45,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,sedative use disorder,SEDUD,DEP-SEDUD,overall,,4.7,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,46,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,sedative dependence,SEDD,DEP-SEDD,overall,,7.6,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,47,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,sedative abuse,SEDA,DEP-SEDA,overall,,4,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,48,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,tranquilizer use disorder,TRAUD,DEP-TRAUD,overall,,4.3,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,49,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,tranquilizer dependence,TRAD,DEP-TRAD,overall,,6.9,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,50,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,major depression,DEP,tranquilizer abuse,TRAA,DEP-TRAA,overall,,3.7,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,51,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,any mood disorder,MOOD,amphetamine use disorder,AMPUD,MOOD-AMPUD,overall,,4.5,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,52,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,any mood disorder,MOOD,amphetamine abuse,AMPA,MOOD-AMPA,overall,,3.5,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,53,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,any mood disorder,MOOD,amphetamine dependence,AMPD,MOOD-AMPD,overall,,7.5,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,54,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,any mood disorder,MOOD,cocaine use disorder,COCUD,MOOD-COCUD,overall,,3.5,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,55,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,any mood disorder,MOOD,cocaine abuse,COCA,MOOD-COCA,overall,,2.3,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,56,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,any mood disorder,MOOD,cocaine dependence,COCD,MOOD-COCD,overall,,7.1,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,57,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,any mood disorder,MOOD,any drug use disorder,DUD,MOOD-DUD,overall,,3.4,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
yes,15-Oct,,58,159,"Conway, K.P",2006,Conway,Conway et al (2006),Conway et al (2006),Lifetime Comordidity of DSM-IV Mood and Anxiety Disorders and Specific drug use disorders: results from the national epidemiologic survey on alcohol and related conditions.,USA,,,,N,NESARC I,National Epidemiologic Survey on Alcohol and Related Conditions I,CS,,,,2,2001,2002,survey,Face-to-Face interview (both),multistage,43093,both,0,18,99,81,,,AUDADIS-IV,DSM-IV,odds ratios,logistic regression,253,4,LT,LT,LT,any mood disorder,MOOD,any drug abuse,DRA,MOOD-DRA,overall,,2.3,,,0.049,,,,,,,,,,,,,,,1,0,1,overall,0,1,1,1,2,2,2,3,1,0,0,1,0,14
